respondent_id,q1_age_group,q1_age_numeric,q2_city,q3_occupation,q4_income_bracket,q4_income_numeric,q5_cups_per_day,q5_cups_numeric,q6_occ_early_morning,q6_occ_mid-morning_work,q6_occ_afternoon,q6_occ_evening,q6_occ_late_night,q7_flavour_pref,q8_ctx_at_home,q8_ctx_officecollege,q8_ctx_cafe,q8_ctx_rtd_onthego,q8_ctx_mixed,q9_tenure,q9_tenure_numeric,q10_entry_product,q11_cold_brew,q11_hot_brew_bags,q11_instant_coffee,q11_ground_coffee,q11_rtd_bottles,q11_subscription_box,q11_merchandise,q11_products_combined,n_categories_purchased,q12_purchase_freq,q12_freq_numeric,q13_ch_sleepy_owl_w,q13_ch_amazon,q13_ch_instagram,q13_ch_word_of_mout,q13_ch_offline_stor,q13_ch_influencer,q14_monthly_spend_inr,q15_share_of_wallet,q16_price_perception,q17_trig_discount,q17_trig_trusted_reco,q17_trig_curiosity,q17_trig_limited_edit,q17_trig_online_revie,q17_trig_sample,q17_trig_rarely_try_n,q18_gifting_behaviour,q19_subscription,q20_rec_responsiveness,q20_rec_numeric,q21_coffee_identity,q22_health_conscious,q22_health_numeric,brand_loyalty_score,is_single_category_buyer,is_enthusiast,is_gifter,is_subscriber,q23_crosssell_intent
SO_0001,22-25,23.5,Delhi/NCR,Working Professional,50k-1L,3.0,3-4 cups,3.5,1,0,1,1,0,Light & Fruity,0,0,1,0,0,<3 months,1,Hot Brew Bags,0,1,1,1,0,0,0,Hot Brew Bags|Instant Coffee|Ground Coffee,3,Weekly+,5,1,1,0,0,0,1,985.0,<25%,Excellent Value,0,1,1,0,0,0,1,No But Would,Prefer One-Time,Rarely,2.0,Daily Ritual,Neutral,2.0,5.2,0,0,0,0,Maybe
SO_0002,31-35,33.0,Delhi/NCR,Self-Employed/Freelancer,25k-50k,2.0,3-4 cups,3.5,1,1,1,1,0,Smooth & Balanced,1,1,1,0,0,<3 months,1,Hot Brew Bags,0,1,0,0,0,0,0,Hot Brew Bags,1,Rarely,1,0,0,0,0,0,1,476.0,25-50%,Excellent Value,0,1,0,0,0,0,0,No And Wouldn't,Was Subscribed/Cancelled,Rarely,2.0,Purely Functional,Somewhat Health-Conscious,3.0,3.7,1,0,0,0,No
SO_0003,26-30,28.0,Kolkata,Working Professional,1L-2L,4.0,<1 cup,0.5,1,1,0,0,0,Smooth & Balanced,1,1,0,0,0,3-6 months,2,Instant Coffee,0,0,1,0,0,0,0,Instant Coffee,1,Monthly,3,0,0,0,0,0,1,881.0,>75%,Fair Value,0,1,1,1,0,0,0,No And Wouldn't,Prefer One-Time,Actively Ignore,1.0,Daily Ritual,Somewhat Health-Conscious,3.0,6.7,1,0,0,0,Maybe
SO_0004,22-25,23.5,Delhi/NCR,Student,50k-1L,3.0,5+ cups,5.5,0,0,0,1,0,Light & Fruity,0,0,1,0,1,1-2 years,4,Ground Coffee,1,1,1,1,0,0,0,Cold Brew|Hot Brew Bags|Instant Coffee|Ground Coffee,4,2-3x/month,4,0,0,0,1,0,0,997.0,25-50%,Slightly Overpriced,0,0,1,1,0,1,0,No But Would,Interested,Occasionally,3.0,Social Experience,Neutral,2.0,7.6,0,1,0,0,Yes
SO_0005,18-21,19.5,Delhi/NCR,Student,25k-50k,2.0,1-2 cups,1.5,1,1,0,0,0,Smooth & Balanced,1,0,0,0,0,2+ years,5,Cold Brew,1,0,0,0,0,0,0,Cold Brew,1,Monthly,3,0,1,1,1,0,1,598.0,>75%,Excellent Value,0,1,0,0,0,0,1,No And Wouldn't,Prefer One-Time,Occasionally,3.0,Social Experience,Somewhat Health-Conscious,3.0,9.5,1,0,0,0,No
SO_0006,18-21,19.5,Chennai,Student,Above 2L,5.0,1-2 cups,1.5,0,0,0,1,0,Light & Fruity,1,1,0,0,0,3-6 months,2,Ground Coffee,1,0,1,1,0,0,0,Cold Brew|Instant Coffee|Ground Coffee,3,Monthly,3,0,0,0,0,0,1,926.0,25-50%,Fair Value,0,1,1,0,0,1,0,No But Would,Prefer One-Time,Rarely,2.0,Coffee Enthusiast,Neutral,2.0,4.8,0,0,0,0,Yes
SO_0007,18-21,19.5,Bengaluru,Working Professional,50k-1L,3.0,3-4 cups,3.5,1,1,1,0,0,No Preference,1,0,1,0,0,6-12 months,3,Ground Coffee,0,0,0,1,0,0,0,Ground Coffee,1,2-3x/month,4,0,1,0,0,0,0,889.0,25-50%,Fair Value,1,0,1,1,0,0,0,No But Would,Prefer One-Time,Occasionally,3.0,Still Exploring,Somewhat Health-Conscious,3.0,6.2,1,0,0,0,Maybe
SO_0008,31-35,33.0,Chennai,Working Professional,Below 25k,1.0,1-2 cups,1.5,0,0,0,1,0,Smooth & Balanced,0,1,0,0,0,1-2 years,4,Cold Brew,1,0,0,0,1,0,0,Cold Brew|RTD Bottles,2,Weekly+,5,0,0,1,0,0,1,867.0,25-50%,Fair Value,1,0,1,1,0,0,0,No But Would,Prefer One-Time,Occasionally,3.0,Purely Functional,Not Health-Conscious,1.0,7.3,0,0,0,0,Yes
SO_0009,22-25,23.5,Mumbai,Working Professional,50k-1L,3.0,3-4 cups,3.5,0,1,0,0,0,Light & Fruity,1,1,1,0,0,2+ years,5,Instant Coffee,0,0,1,0,0,0,0,Instant Coffee,1,2-3x/month,4,1,1,0,1,0,0,649.0,25-50%,Fair Value,0,0,1,0,1,0,0,No But Would,Prefer One-Time,Rarely,2.0,Daily Ritual,Not Health-Conscious,1.0,9.2,1,0,0,0,Maybe
SO_0010,26-30,28.0,Bengaluru,Student,25k-50k,2.0,<1 cup,0.5,0,0,0,0,1,Strong & Bold,0,1,1,1,0,2+ years,5,Cold Brew,1,0,0,0,0,0,0,Cold Brew,1,Weekly+,5,0,0,1,0,0,0,642.0,>75%,Slightly Overpriced,1,1,0,0,1,0,0,No But Would,Currently Subscribed,Rarely,1.0,Still Exploring,Somewhat Health-Conscious,3.0,9.9,1,0,0,1,Maybe
SO_0011,18-21,19.5,Mumbai,Student,1L-2L,4.0,3-4 cups,3.5,0,0,0,1,0,Smooth & Balanced,0,1,0,0,0,<3 months,1,Cold Brew,1,1,0,0,1,0,1,Cold Brew|Hot Brew Bags|RTD Bottles|Merchandise,4,Weekly+,5,0,1,1,0,1,0,1309.0,>75%,Slightly Overpriced,0,0,0,1,1,0,0,No But Would,Prefer One-Time,Almost Always,4.0,Still Exploring,Somewhat Health-Conscious,1.0,7.7,0,1,0,0,Yes
SO_0012,36+,37.0,Mumbai,Working Professional,1L-2L,4.0,1-2 cups,1.5,0,1,0,1,0,Strong & Bold,1,0,0,0,0,3-6 months,2,Instant Coffee,0,0,1,0,0,0,0,Instant Coffee,1,2-3x/month,4,0,0,1,1,0,1,1199.0,>75%,Overpriced,1,1,1,0,0,0,0,Yes - Once/Twice,Currently Subscribed,Rarely,2.0,Purely Functional,Not Health-Conscious,1.0,7.0,1,0,1,1,Maybe
SO_0013,26-30,28.0,Kolkata,Working Professional,Above 2L,5.0,1-2 cups,1.5,0,0,1,0,0,Strong & Bold,1,1,1,0,0,<3 months,1,RTD Bottles,1,0,1,1,1,0,0,Cold Brew|Instant Coffee|Ground Coffee|RTD Bottles,4,2-3x/month,4,0,0,1,1,0,1,1264.0,25-50%,Fair Value,1,1,1,0,0,0,0,Yes - Once/Twice,Prefer One-Time,Rarely,2.0,Social Experience,Neutral,2.0,4.5,0,1,1,0,Yes
SO_0014,18-21,19.5,Mumbai,Student,50k-1L,3.0,1-2 cups,1.5,1,0,0,0,0,Smooth & Balanced,1,0,0,0,0,6-12 months,3,Cold Brew,1,1,1,1,0,0,0,Cold Brew|Hot Brew Bags|Instant Coffee|Ground Coffee,4,2-3x/month,4,1,1,0,0,0,0,892.0,>75%,Fair Value,0,1,1,0,1,0,0,No But Would,Prefer One-Time,Occasionally,3.0,Daily Ritual,Neutral,2.0,8.8,0,1,0,0,Yes
SO_0015,18-21,19.5,Bengaluru,Working Professional,50k-1L,3.0,3-4 cups,3.5,1,1,1,1,0,Smooth & Balanced,1,0,0,0,0,1-2 years,4,Ground Coffee,0,0,0,1,0,0,0,Ground Coffee,1,Rarely,1,1,1,0,0,1,0,590.0,25-50%,Fair Value,1,0,1,1,0,0,0,Yes - Once/Twice,Interested,Occasionally,3.0,Daily Ritual,Somewhat Health-Conscious,3.0,5.2,1,0,1,0,No
SO_0016,18-21,19.5,Delhi/NCR,Student,1L-2L,4.0,3-4 cups,3.5,1,0,1,0,0,Sweet & Creamy,1,1,1,0,0,3-6 months,2,Hot Brew Bags,1,1,1,1,0,0,0,Cold Brew|Hot Brew Bags|Instant Coffee|Ground Coffee,4,Monthly,3,0,1,1,1,1,0,942.0,51-75%,Excellent Value,0,0,1,0,1,0,1,No And Wouldn't,Was Subscribed/Cancelled,Occasionally,3.0,Purely Functional,Somewhat Health-Conscious,3.0,5.6,0,1,0,0,Maybe
SO_0017,22-25,23.5,Delhi/NCR,Self-Employed/Freelancer,Below 25k,1.0,1-2 cups,1.5,1,1,0,0,0,Sweet & Creamy,0,1,0,0,1,1-2 years,4,RTD Bottles,0,0,0,0,1,0,0,RTD Bottles,1,Monthly,3,0,0,1,0,0,0,546.0,51-75%,Excellent Value,0,1,1,0,0,0,1,Yes - Multiple Times,Was Subscribed/Cancelled,Actively Ignore,1.0,Social Experience,Somewhat Health-Conscious,3.0,6.1,1,0,1,0,No
